[M] [H]         [N]                
[S] [W]         [F]     [W] [V]    
ordmove 1 from 7 to 3
ordmove 2 from 7 to 6
ordmove 1 from 9 to 7
ordmove 19 from 8 to 2
ordmove 1 from 1 to 9
ordmove 4 from 3 to 9
ordmove 1 from 5 to 6
ordmove 4 from 8 to 1
ordmove 1 from 4 to 1
ordmove 3 from 1 to 3
ordmove 1 from 1 to 9
ordmove 4 from 9 to 7
ordmove 2 from 6 to 1
ordmove 2 from 1 to 2
ordmove 1 from 6 to 3
ordmove 1 from 1 to 4
ordmove 3 from 7 to 5
ordmove 21 from 2 to 8
ordmove 1 from 7 to 8
ordmove 2 from 5 to 3
ordmove 1 from 4 to 3
ordmove 3 from 3 to 1
ordmove 1 from 7 to 5
ordmove 1 from 1 to 2
ordmove 1 from 1 to 2
ordmove 2 from 3 to 2
ordmove 1 from 3 to 8
ordmove 2 from 5 to 6
ordmove 1 from 3 to 9
ordmove 4 from 2 to 8
ordmove 12 from 9 to 6
ordmove 1 from 1 to 4
ordmove 14 from 6 to 1
ordmove 3 from 9 to 1
ordmove 1 from 4 to 7
ordmove 4 from 8 to 6
ordmove 3 from 6 to 4
ordmove 3 from 4 to 7
ordmove 15 from 1 to 5
ordmove 1 from 6 to 5
ordmove 12 from 5 to 4
ordmove 10 from 9 to 8
ordmove 3 from 7 to 8
ordmove 1 from 9 to 1
ordmove 2 from 1 to 7
ordmove 17 from 8 to 5
ordmove 10 from 4 to 2
ordmove 16 from 5 to 8
ordmove 30 from 8 to 7
ordmove 4 from 5 to 2
ordmove 4 from 7 to 1
ordmove 1 from 5 to 8
ordmove 4 from 8 to 4
ordmove 5 from 4 to 8
ordmove 8 from 7 to 8
ordmove 19 from 7 to 5
ordmove 4 from 1 to 4
ordmove 7 from 5 to 3
ordmove 10 from 2 to 3
ordmove 5 from 5 to 1
ordmove 1 from 5 to 3
ordmove 4 from 2 to 8
ordmove 4 from 4 to 6
ordmove 1 from 5 to 7
ordmove 3 from 7 to 1
ordmove 1 from 4 to 2
ordmove 7 from 3 to 7
ordmove 2 from 5 to 1
ordmove 1 from 2 to 8
ordmove 3 from 5 to 2
ordmove 3 from 2 to 7
ordmove 11 from 1 to 9
ordmove 9 from 9 to 6
ordmove 1 from 3 to 8
ordmove 2 from 9 to 6
ordmove 3 from 3 to 7
ordmove 3 from 7 to 1
ordmove 5 from 6 to 7
ordmove 14 from 7 to 6
ordmove 1 from 7 to 2
ordmove 5 from 3 to 5
ordmove 1 from 3 to 4
ordmove 2 from 1 to 4
ordmove 1 from 6 to 9
ordmove 1 from 3 to 8
ordmove 1 from 9 to 2
ordmove 1 from 1 to 4
ordmove 4 from 4 to 9
ordmove 1 from 2 to 3
ordmove 5 from 5 to 9
ordmove 1 from 9 to 5
ordmove 1 from 5 to 3
ordmove 11 from 6 to 3
ordmove 2 from 9 to 1
ordmove 1 from 1 to 7
ordmove 5 from 6 to 4
ordmove 4 from 3 to 9
ordmove 1 from 3 to 7
ordmove 1 from 4 to 2
ordmove 1 from 4 to 5
ordmove 2 from 2 to 1
ordmove 1 from 4 to 5
ordmove 2 from 1 to 6
ordmove 1 from 3 to 6
ordmove 8 from 9 to 6
ordmove 19 from 8 to 7
ordmove 2 from 7 to 4
ordmove 1 from 1 to 3
ordmove 6 from 6 to 5
ordmove 1 from 8 to 6
ordmove 8 from 5 to 9
ordmove 1 from 9 to 8
ordmove 1 from 4 to 6
ordmove 1 from 9 to 1
ordmove 4 from 7 to 5
ordmove 2 from 4 to 7
ordmove 1 from 4 to 5
ordmove 8 from 9 to 5
ordmove 3 from 8 to 2
ordmove 8 from 6 to 8
ordmove 5 from 3 to 1
ordmove 6 from 8 to 3
ordmove 9 from 5 to 7
ordmove 3 from 2 to 4
ordmove 1 from 6 to 1
ordmove 2 from 3 to 9
ordmove 2 from 8 to 1
ordmove 1 from 4 to 7
ordmove 1 from 5 to 6
ordmove 1 from 9 to 3
ordmove 8 from 3 to 8
ordmove 2 from 4 to 9
ordmove 2 from 5 to 7
ordmove 5 from 8 to 3
ordmove 2 from 6 to 9
ordmove 1 from 9 to 5
ordmove 3 from 9 to 3
ordmove 3 from 6 to 5
ordmove 1 from 9 to 6
ordmove 1 from 8 to 3
ordmove 4 from 5 to 4
ordmove 24 from 7 to 5
ordmove 8 from 3 to 1
ordmove 24 from 5 to 2
ordmove 3 from 4 to 6
ordmove 5 from 6 to 3
ordmove 1 from 3 to 1
ordmove 1 from 5 to 2
ordmove 4 from 2 to 1
ordmove 5 from 3 to 9
ordmove 1 from 4 to 3
ordmove 5 from 2 to 3
ordmove 3 from 1 to 2
ordmove 1 from 7 to 1
ordmove 4 from 7 to 8
ordmove 1 from 1 to 2
ordmove 5 from 2 to 8
ordmove 2 from 9 to 8
ordmove 19 from 1 to 7
ordmove 9 from 8 to 9
ordmove 2 from 3 to 5
ordmove 8 from 9 to 6
ordmove 5 from 6 to 2
ordmove 1 from 3 to 8
ordmove 2 from 9 to 5
ordmove 3 from 5 to 9
ordmove 5 from 9 to 4
ordmove 2 from 6 to 4
ordmove 2 from 8 to 3
ordmove 1 from 5 to 6
ordmove 3 from 8 to 4
ordmove 1 from 6 to 9
ordmove 8 from 4 to 3
ordmove 19 from 7 to 5
ordmove 5 from 3 to 6
ordmove 1 from 4 to 5
ordmove 1 from 4 to 7
ordmove 1 from 9 to 1
ordmove 4 from 6 to 8
ordmove 1 from 7 to 5
ordmove 2 from 6 to 4
ordmove 4 from 8 to 5
ordmove 6 from 3 to 1
ordmove 6 from 5 to 8
ordmove 5 from 5 to 1
ordmove 2 from 4 to 7
ordmove 2 from 3 to 2
ordmove 7 from 5 to 2
ordmove 1 from 7 to 9
ordmove 3 from 2 to 6
ordmove 7 from 2 to 1
ordmove 4 from 1 to 7
ordmove 7 from 1 to 7
ordmove 11 from 2 to 4
ordmove 3 from 6 to 7
ordmove 2 from 8 to 5
ordmove 8 from 7 to 3
ordmove 6 from 3 to 5
ordmove 4 from 2 to 3
ordmove 3 from 7 to 6
ordmove 3 from 2 to 5
ordmove 7 from 5 to 1
ordmove 10 from 1 to 6
ordmove 1 from 2 to 8
ordmove 3 from 6 to 7
ordmove 4 from 4 to 1
ordmove 2 from 3 to 6
ordmove 3 from 3 to 9
ordmove 1 from 3 to 6
ordmove 4 from 1 to 4
ordmove 3 from 9 to 6
ordmove 2 from 4 to 1
ordmove 9 from 4 to 7
ordmove 11 from 7 to 4
ordmove 6 from 1 to 6
ordmove 6 from 4 to 7
ordmove 5 from 4 to 7
ordmove 4 from 8 to 1
ordmove 1 from 8 to 6
ordmove 1 from 9 to 7
ordmove 4 from 6 to 4
ordmove 5 from 5 to 4
ordmove 5 from 5 to 9
ordmove 5 from 1 to 6
ordmove 1 from 5 to 6
ordmove 4 from 9 to 7
ordmove 1 from 9 to 8
ordmove 7 from 7 to 1
ordmove 1 from 7 to 8
ordmove 4 from 1 to 5
ordmove 5 from 4 to 1
ordmove 1 from 4 to 8
ordmove 6 from 1 to 2
ordmove 11 from 6 to 8
ordmove 2 from 8 to 9
ordmove 1 from 5 to 9
ordmove 6 from 2 to 8
ordmove 1 from 1 to 2
ordmove 2 from 7 to 8
ordmove 1 from 9 to 2
ordmove 2 from 2 to 8
ordmove 1 from 7 to 8
ordmove 10 from 8 to 3
ordmove 3 from 5 to 9
ordmove 4 from 8 to 5
ordmove 4 from 8 to 2
ordmove 7 from 7 to 8
ordmove 2 from 5 to 9
ordmove 1 from 5 to 1
ordmove 2 from 7 to 8
ordmove 5 from 3 to 5
ordmove 1 from 1 to 3
ordmove 1 from 1 to 6
ordmove 1 from 2 to 4
ordmove 7 from 6 to 4
ordmove 2 from 2 to 3
ordmove 3 from 8 to 4
ordmove 2 from 3 to 1
ordmove 3 from 5 to 6
ordmove 3 from 6 to 8
ordmove 1 from 1 to 9
ordmove 3 from 3 to 1
ordmove 8 from 8 to 1
ordmove 1 from 2 to 9
ordmove 1 from 6 to 2
ordmove 3 from 5 to 1
ordmove 1 from 8 to 3
ordmove 3 from 4 to 1
ordmove 4 from 8 to 9
ordmove 1 from 7 to 1
ordmove 7 from 1 to 6
ordmove 8 from 9 to 6
ordmove 1 from 8 to 9
ordmove 4 from 9 to 8
ordmove 15 from 6 to 5
ordmove 3 from 1 to 6
ordmove 2 from 1 to 2
ordmove 1 from 2 to 7
ordmove 1 from 9 to 6
ordmove 3 from 8 to 1
ordmove 1 from 4 to 9
ordmove 11 from 5 to 9
ordmove 1 from 7 to 1
ordmove 1 from 2 to 3
ordmove 2 from 3 to 4
ordmove 6 from 1 to 7
ordmove 7 from 4 to 5
ordmove 2 from 6 to 7
ordmove 1 from 4 to 5
ordmove 2 from 4 to 1
ordmove 13 from 9 to 1
ordmove 2 from 3 to 2
ordmove 1 from 3 to 7
ordmove 2 from 4 to 1
ordmove 4 from 6 to 9
ordmove 1 from 8 to 4
ordmove 4 from 6 to 8
ordmove 1 from 4 to 9
ordmove 9 from 1 to 6
ordmove 8 from 6 to 9
ordmove 4 from 5 to 3
ordmove 1 from 8 to 4
